id,name
0,Bending something until it breaks
1,Dropping something next to something
2,Dropping something onto something
3,Holding something next to something
4,Holding something over something
5,"Letting something roll up a slanted surface, so it rolls back down"
6,Lifting something with something on it
7,Lifting up one end of something without letting it drop down
8,"Lifting up one end of something, then letting it drop down"
9,Moving something and something so they pass each other
10,Moving something away from something
11,Moving something away from the camera
12,Moving something closer to something
13,Moving something down
14,Moving something towards the camera
15,Moving something up
16,Plugging something into something but pulling it right out as you remove your hand
17,Poking something so it slightly moves
18,Poking something so lightly that it doesn't or almost doesn't move
19,Poking something so that it falls over
20,Poking something so that it spins around
21,Pouring something onto something
22,Pouring something out of something
23,Pretending to put something on a surface
24,Pretending to put something onto something
25,Pretending to put something underneath something
26,Pretending to scoop something up with something
27,Pretending to spread air onto something
28,Pretending to sprinkle air onto something
29,Pretending to squeeze something
30,Pretending to take something from somewhere
31,Pretending to take something out of something
32,Pretending to throw something
33,Pretending to turn something upside down
34,Pulling something out of something
35,Pulling two ends of something but nothing happens
36,Pulling two ends of something so that it gets stretched
37,Pulling two ends of something so that it separates into two pieces
38,Pushing something so that it almost falls off but doesn't
39,Pushing something so that it falls off the table
40,Pushing something so that it slightly moves
41,Pushing something with something
42,Putting something onto something
43,Putting something onto something else that cannot support it so it falls down
44,Putting something similar to other things that are already on the table
45,"Putting something that can't roll onto a slanted surface, so it slides down"
46,"Putting something that can't roll onto a slanted surface, so it stays where it is"
47,"Putting something that cannot actually stand upright upright on the table, so it falls on its side"
48,Putting something underneath something
49,Putting something upright on the table
50,"Putting something, something and something on the table"
51,Showing something to the camera
52,Showing that something is empty
53,Showing that something is inside something
54,Something colliding with something and both come to a halt
55,Something falling like a rock
56,Spilling something onto something
57,Spinning something that quickly stops spinning
58,Taking something out of something
59,Tearing something just a little bit
60,Throwing something in the air and letting it fall
61,Throwing something onto a surface
62,Tilting something with something on it until it falls off
63,"Tipping something with something in it over, so something in it falls out"
64,"Trying to pour something into something, but missing so it spills next to it"
65,Turning the camera right while filming something
66,Turning the camera upwards while filming something
67,Twisting something
